"orthology_group","gene_stable_id","protein_stable_id","species","orthology_designation"
"000000019","AT1G05030","AT1G05030.1","arabidopsis_thaliana","all life"
"000000019","AT1G07340","AT1G07340.1","arabidopsis_thaliana","all life"
"000000019","AT1G08890","AT1G08890.1","arabidopsis_thaliana","all life"
"000000019","AT1G08900","AT1G08900.2","arabidopsis_thaliana","all life"
"000000019","AT1G08920","AT1G08920.2","arabidopsis_thaliana","all life"
"000000019","AT1G08930","AT1G08930.1","arabidopsis_thaliana","all life"
"000000019","AT1G11260","AT1G11260.1","arabidopsis_thaliana","all life"
"000000019","AT1G19450","AT1G19450.1","arabidopsis_thaliana","all life"
"000000019","AT1G20840","AT1G20840.2","arabidopsis_thaliana","all life"
"000000019","AT1G30220","AT1G30220.1","arabidopsis_thaliana","all life"
"000000019","AT1G34580","AT1G34580.1","arabidopsis_thaliana","all life"
"000000019","AT1G50310","AT1G50310.1","arabidopsis_thaliana","all life"
"000000019","AT1G54730","AT1G54730.2","arabidopsis_thaliana","all life"
"000000019","AT1G67300","AT1G67300.2","arabidopsis_thaliana","all life"
"000000019","AT1G75220","AT1G75220.1","arabidopsis_thaliana","all life"
"000000019","AT1G77210","AT1G77210.1","arabidopsis_thaliana","all life"
"000000019","AT1G79820","AT1G79820.2","arabidopsis_thaliana","all life"
"000000019","AT2G16120","AT2G16120.1","arabidopsis_thaliana","all life"
"000000019","AT2G16130","AT2G16130.1","arabidopsis_thaliana","all life"
"000000019","AT2G18480","AT2G18480.1","arabidopsis_thaliana","all life"
"000000019","AT2G20780","AT2G20780.1","arabidopsis_thaliana","all life"
"000000019","AT2G35740","AT2G35740.1","arabidopsis_thaliana","all life"
"000000019","AT2G48020","AT2G48020.2","arabidopsis_thaliana","all life"
"000000019","AT3G03090","AT3G03090.1","arabidopsis_thaliana","all life"
"000000019","AT3G05150","AT3G05150.2","arabidopsis_thaliana","all life"
"000000019","AT3G05155","AT3G05155.1","arabidopsis_thaliana","all life"
"000000019","AT3G05160","AT3G05160.1","arabidopsis_thaliana","all life"
"000000019","AT3G05165","AT3G05165.6","arabidopsis_thaliana","all life"
"000000019","AT3G05400","AT3G05400.1","arabidopsis_thaliana","all life"
"000000019","AT3G05960","AT3G05960.1","arabidopsis_thaliana","all life"
"000000019","AT3G18830","AT3G18830.1","arabidopsis_thaliana","all life"
"000000019","AT3G19930","AT3G19930.1","arabidopsis_thaliana","all life"
